input_id,role,primary_source,access_url,required_variables,spatial_temporal_target,status
daily_climate,baseline_and_projected_daily_features,Lange_2021_ISIMIP3BASD,https://doi.org/10.5194/gmd-14-5443-2021,"precipitation,tmin,tmax,radiation,humidity/wind",0.5_degree_daily_historical_and_scenario,historical_pr_tas_tasmax_tasmin_1981_2019_acquired_16_objects_sha512_verified_MRI_ESM2_0_historical_2011_2014_and_ssp370_2015_2020_pr_tas_complete_other_79_projection_members_metadata_only
crop_calendars,stage_alignment,GGCMI_phase3_2015soc,https://doi.org/10.5281/zenodo.5062513,"planting,harvest,crop,irrigation",0.5_degree_crop_calendar,12_crop_irrigation_files_acquired_and_verified
process_yields,structural_benchmark,GGCMI_phase1,https://doi.org/10.1038/s41597-019-0023-8,"yield,CO2,management,irrigation",0.5_degree_annual_crop_model_ensemble,download_to_verify
historical_yields,empirical_estimation,GDHY_v1.2_v1.3_Iizumi_Sakai_2020,https://doi.pangaea.de/10.1594/PANGAEA.909132,"crop_yield,harvested_area",0.5_degree_annual_1981_2016,acquired_2026-08-16
aggregate_validation,external_validation,FAOSTAT_Crops_and_livestock_products,https://www.fao.org/faostat/en/#data/QCL,"production,yield,area",country_annual,download_to_verify
nass_us_county_outcomes,us_high_resolution_validation,USDA_NASS_Quick_Stats_API_and_bulk_crops_20260821,https://www.nass.usda.gov/quick_stats/,"yield,production,harvested_area,commodity,practice,unit,flags",county_annual,api_all_practice_corn_2018_2022_acquired_direct_irrigated_nonirrigated_corn_soy_wheat_all_years_acquired_2012_2017_2022_census_crop_irrigation_shares_audited_bulk_archive_partial
gridmet_us_county_weather,us_high_resolution_validation,gridMET_METDATA,https://www.climatologylab.org/gridmet.html,"daily_precipitation,tmin,tmax",approximately_4_km_CONUS_daily,pr_2018_smoke_exact_object_tracked_sha512_http_identity_and_decoded_calendar_no_county_exposure
nclimgrid_us_county_weather,us_high_resolution_validation_primary_candidate,NOAA_NCEI_nClimGrid_Daily_v1_0_0,https://doi.org/10.25921/c4gt-r169,"daily_precipitation,tmin,tmax,tavg",1_24_degree_CONUS_daily_1981_2019_target,january_1981_exact_object_acquired_sha512_http_identity_schema_calendar_and_day_label_validated_full_period_pending
nass_us_crop_calendar,us_high_resolution_stage_alignment,USDA_NASS_Field_Crops_Usual_Dates_2010,https://www.nass.usda.gov/Publications/Todays_Reports/reports/fcdate10.pdf,"state,crop,planting_begin_most_active_end,harvest_begin_most_active_end",state_fixed_usual_dates,pdf_acquired_sha512_and_relevant_tables_visually_audited_boundary_transformation_not_frozen
us_county_crop_masks_boundaries,us_high_resolution_spatial_weights,USDA_NASS_CDL_and_Census_TIGERLine_2019,https://data.nass.usda.gov/Research_and_Science/Cropland/sarsfaqs2.php,"crop_class,raster_area,county_geoid,county_geometry",30m_CDL_to_1_24_degree_weather_cells,official_2017_CDL_and_2019_county_http_identities_terms_and_limits_recorded_downloads_and_intersections_deferred
cru_scpdsi,historical_climatic_index_benchmark,CRU_TS_4.10_scpdsi,https://crudata.uea.ac.uk/cru/data/drought/,"monthly_self_calibrating_pdsi",0.5_degree_monthly_1903_2025,complete_object_sha512_verified_global_maize_soy_1982_1989_and_2012_2016_regime_first_candidate_panels_raw_source_calendar_manifest_bound_derived_allocation_recomputed_no_fit_or_future_use
irrigation_weights,independent_fixed_exposure_allocation,MIRCA_OS_v2_March_2026,https://www.hydroshare.org/resource/e4582ca0042148338bb5e0148b749ed6/,"irrigated_harvested_area,rainfed_harvested_area,crop,vintage",0.5_degree_global_2000_2005_2010_2015_2020,archive_checksum_and_grid_validated_exact_maize_soy_weights_built_rice_wheat_season_mapping_blocked
